sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_produce_in_your_neighborhood?,lat,lon
"""6423133718315008""","""5870270562697216""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-01-22 08:24:22.709000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.7836095,122.5951461
"""6423222569402368""","""5249689520701440""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-03-14 05:50:20.095000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.151297,124.50393
"""6424243317243904""","""6743470460895232""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-02-26 03:26:23.099000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,6.9236294,122.0439064
"""6424845697941504""","""5823644010807296""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-03-14 12:44:26.110000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,6.9428893,122.1229144
"""6424924849700864""","""5747550780915712""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-19 02:05:24.048000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,unaffordable,10.7408621,122.5074355
"""6426227671826432""","""6390322447777792""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-01-16 21:28:19.319000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.0541658,125.5743321
"""6426317777010688""","""6665246351556608""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-19 00:23:24.064000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,very_affordable,7.1192625,125.6417328
"""6426517850554368""","""5073139480395776""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-01-17 00:32:23.042000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.4485514,125.7848618
"""6426730619207680""","""6741081423085568""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-01-22 02:46:24.188000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,unaffordable,7.0542187,125.5918448
"""6426747861991424""","""6627447019667456""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 23:01:19.768000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,unaffordable,6.3988252,125.6189797
"""6427389540171776""","""6730306021228544""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-06 07:49:25.824000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.1093214,124.8297616
"""6427414118793216""","""6432840969355264""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 16:09:22.544000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0450182,125.5906527
"""6427441587290112""","""6609031437221888""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-01-08 19:02:18.781000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,unaffordable,7.0598671,125.5611687
"""6427513858293760""","""5647455943131136""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-18 23:38:21.503000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.1431449,125.6600951
"""6427772047065088""","""6222363823702016""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-03-13 21:53:20.913000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,6.1349148,125.1692587
"""6427786631708672""","""6062728068202496""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-02-25 22:13:26.206000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,6.9371946,122.089465
"""6428012461424640""","""5794041503416320""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-02-13 22:34:26.191000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.1101793,125.490391
"""6428249975422976""","""6293199292203008""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-19 04:41:24.889000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.10865,125.6136532
"""6428309820801024""","""6277542661062656""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-14 09:34:19.024000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,8.0690953,122.5228691
"""6428567387766784""","""6603657552330752""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-03-13 19:53:19.252000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,7.8150603,123.4141423
"""6428683687428096""","""5934997523398656""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-03-18 22:59:23.625000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.6618072,122.9671416
"""6429567662161920""","""6159538345476096""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-03-06 07:25:25.175000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.11012,124.8264983
"""6429683823411200""","""5994410141548544""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-18 16:23:21.885000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,very_affordable,7.0923906,125.61917
"""6430008279040000""","""6476591997648896""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-19 04:10:23.387000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.1444527,125.6495036
"""6430154378182656""","""4967589399756800""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-03-13 23:17:23.451000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.062125,125.606886
"""6430489571229696""","""6477388464521216""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-01-16 16:08:23.811000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.0760027,125.6049147
"""6430725608833024""","""5412953600819200""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-03-14 08:47:22.602000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,unaffordable,7.1872639,124.5368982
"""6430775387881472""","""6703707448147968""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-01-09 01:19:23.445000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,very_affordable,7.0802088,125.6043675
"""6431242947919872""","""6060941877706752""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-19 08:02:22.662000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.7173036,122.566528
"""6431493633081344""","""6241453950894080""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-02-13 16:25:25.668000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.0864136,125.6281539
"""6431742539857920""","""5205774621999104""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 16:08:33.932000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.0932619,125.6323743
"""6431861963227136""","""6003081605021696""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-19 01:41:20.121000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.1378829,125.5882691
"""6432343705255936""","""6558576174694400""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-01-17 02:19:23.459000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.0449388,125.5907187
"""6432736124338176""","""6594011372453888""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-01-21 23:34:28.413000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0488548,125.535945
"""6433226216177664""","""6418649600491520""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-13 17:25:25.063000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,6.9433096,122.0977689
"""6433500959866880""","""6745010156339200""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-14 01:22:25.096000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,6.9197594,122.0735715
"""6433663581421568""","""6611790374895616""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-01-29 03:08:24.453000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,very_affordable,6.9169454,122.095875
"""6433819995406336""","""6695588907188224""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 16:52:19.152000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0589742,125.599784
"""6433843936493568""","""5806192502767616""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 22:54:20.771000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,unaffordable,,
"""6434562391408640""","""6256357848121344""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-01-17 02:35:27.248000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,very_affordable,7.0759123,125.6118466
"""6434611539214336""","""6287176250687488""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-03-05 22:52:18.938000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.0171105,124.3702768
"""6435103234326528""","""5667079061504000""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-06 01:17:19.683000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.162949,125.6404722
"""6435106358034432""","""6710297211437056""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-03-06 07:29:25.441000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.2235999,124.2463989
"""6435671797399552""","""6444544828637184""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 23:32:21.455000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,unaffordable,7.1604959,125.6506715
"""6437246309761024""","""5764377959464960""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-01-17 02:36:22.795000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,unaffordable,6.9363758,122.0694227
"""6437742641676288""","""6747992952406016""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-03-26 08:41:22.291000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,unaffordable,6.9538907,121.9592077
