sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_food_in_your_neighborhood?,lat,lon
"""4892802007695360""","""6565847394942976""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-01-20 16:28:20.473000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,affordable,11.484597,123.0892268
"""4893253158567936""","""6748507589312512""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-03-17 22:29:28.613000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,very_unaffordable,10.8449566,122.6321542
"""4893457057316864""","""6276032657096704""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-01-15 16:03:20.509000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,very_affordable,7.0742807,125.6083341
"""4893534768332800""","""6608619577540608""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-03-13 10:08:22.117000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,very_affordable,6.1262298,125.1362248
"""4893725882843136""","""5843444461207552""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-25 14:15:25.243000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,affordable,6.912322,122.0652184
"""4893766026526720""","""5931486026924032""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-01-16 07:37:18.836000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.4488268,125.8118233
"""4893956916641792""","""5875763268026368""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-03-13 06:56:34.273000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,very_affordable,7.2219108,124.2482916
"""4893986038743040""","""6678266712686592""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-02-13 13:18:21.556000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,unaffordable,7.8447587,123.328423
"""4894258861441024""","""6031729984798720""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-25 10:35:19.167000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,very_affordable,5.9483647,120.9447789
"""4894665205612544""","""6032815793635328""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-24 22:43:23.705000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,affordable,6.9371777,122.089522
"""4894886291570688""","""6538277521719296""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-01-07 21:06:19.626000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,affordable,,
"""4895704432508928""","""6671798735208448""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-01-16 00:45:23.083000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,unaffordable,8.9397145,125.5144045
"""4896279857463296""","""5709032910225408""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-01-20 18:31:18.656000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,unaffordable,10.7789916,122.387748
"""4897050133004288""","""4901319447937024""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-01-15 16:32:25.360000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.1256467,125.6598233
"""4897256488566784""","""5740205476675584""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-02-04 20:47:19.055000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,affordable,7.0780112,125.5283414
