sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_satisfied_are_you_with_the_quality_of_the_water?,lat,lon
"""4762151718748160""","""5662121624862720""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-13 13:56:23.612000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.7705114,122.5316638
"""4762650519011328""","""6652899192995840""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 21:53:23.474000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,8.1775036,126.3534487
"""4763636973174784""","""5569153987510272""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-15 23:58:22.423000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,very_satisfied,7.1180854,125.6413654
"""4764145518903296""","""6725335216291840""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 22:29:19.056000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,very_satisfied,8.9412617,125.4904106
"""4764778616586240""","""5797027445211136""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 16:29:22.117000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.061196,125.5992719
"""4765179390722048""","""6070880046153728""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-02-26 03:34:21.501000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.9579889,122.0732893
"""4765509843156992""","""5682484622655488""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 21:59:24.624000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,very_dissatisfied,7.2272301,125.6428651
"""4765739829428224""","""6427427133718528""","""5631203463921664""","""4617720517623808""","""5897368358617088""",2019-01-13 15:02:18.820000+00:00,"""5236740799332352""",ls_tl-ph_water-&-sanitation-2,satisfied,7.4248545,124.5503023
"""4765989151440896""","""5678580333805568""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 16:11:18.990000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,7.1366662,125.6387486
"""4766945150763008""","""6558148565401600""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-29 01:07:19.768000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0724678,125.6233044
"""4767060913553408""","""5734412224299008""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-29 11:52:20.997000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,7.0974333,125.6361113
"""4767522622537728""","""5797027445211136""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 23:40:30.935000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,very_satisfied,7.061197,125.5992726
"""4767811541925888""","""5011888644554752""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 16:14:24.772000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,very_satisfied,7.1133455,125.5962935
"""4767961530236928""","""5739992041127936""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-25 23:26:25.985000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.733251,123.3210805
"""4768045937459200""","""6273503969935360""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-01-28 16:56:22.014000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,5.9486907,120.9449273
"""4768237139001344""","""6712654020214784""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 16:07:20.344000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0831927,125.6212739
"""4768370094243840""","""5722538418110464""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-16 11:06:24.541000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0830094,125.6254517
"""4768602956759040""","""5721587028328448""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 22:50:27.607000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.2853997,125.6869499
"""4768767709020160""","""6200244897316864""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-26 13:17:20+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,very_dissatisfied,14.558373,121.0828215
"""4768869966151680""","""6517177349832704""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-03-19 17:05:33.870000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,dissatisfied,6.9139862,122.0736244
"""4769533488267264""","""5322064895410176""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 23:38:28.680000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,very_satisfied,7.0894734,125.6394515
"""4770048217448448""","""6465121767391232""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-13 00:53:19.017000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,very_satisfied,7.0713052,125.6053722
"""4771356157673472""","""4692708637540352""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 23:26:22.561000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,dissatisfied,,
"""4772488275820544""","""5835499346329600""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 16:21:20.857000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,7.1303048,125.6196813
"""4772786142707712""","""6281070032977920""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-15 20:50:18.599000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0487183,125.5965843
"""4773088317145088""","""6260675699539968""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-16 10:26:25.268000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,dissatisfied,7.1909888,125.4530262
"""4773131127357440""","""6114326622502912""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-03-25 23:26:31.771000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.0765819,125.1413029
"""4774276265672704""","""5622260649951232""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 22:27:20.780000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0571197,125.5701281
"""4774888021688320""","""6597303114661888""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-01-23 05:28:19.464000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,very_satisfied,6.9214924,122.0860524
"""4775278342569984""","""6722269457940480""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 22:38:20.506000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0924171,125.6106302
"""4775402075586560""","""6179815344308224""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 18:27:20.100000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,7.0448932,125.5906409
"""4775814593773568""","""5974047588352000""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-29 00:41:19.173000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0977125,125.6307632
"""4775816313438208""","""5885340776660992""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-26 11:12:26.779000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,very_satisfied,,
"""4777519494463488""","""6346996396851200""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-26 01:23:25.681000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,,
"""4777544881537024""","""5834359296753664""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-13 11:44:18.738000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,,
"""4778136703074304""","""5994410141548544""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 16:16:23.099000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.129805,125.6572956
"""4779081776234496""","""6734045083860992""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 17:01:23.102000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.266355,125.6631711
"""4779771062910976""","""5327854910832640""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-03-21 04:59:21.444000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,dissatisfied,6.6617421,122.1436579
