sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_safe_is_drinking_water_from_the_tap?,lat,lon
"""5538649154256896""","""6465707309006848""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-02-24 07:02:19.573000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_safe,7.2453233,124.520289
"""5539197727277056""","""5964764448555008""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-02-21 06:04:18.771000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,very_safe,5.9483647,120.9447789
"""5539221680947200""","""5770592651313152""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-01-02 14:22:18.694000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,7.0723134,125.6213383
"""5539406711619584""","""5750652983574528""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-03-27 00:14:20.446000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.0681124,125.5593523
"""5539419534655488""","""5689107122487296""","""6395884608684032""","""5011006579277824""","""5897368358617088""",2019-01-16 16:08:27.222000+00:00,"""4737466151993344""",ii_tl-ph_water-&-sanitation-3,somewhat_safe,7.0852442,125.5818007
"""5540301977419776""","""6503375984132096""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-03-26 20:44:23.997000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.0912151,125.6073597
"""5540775335034880""","""5825017654804480""","""6395884608684032""","""5011006579277824""","""5897368358617088""",2019-01-17 02:16:24.868000+00:00,"""4737466151993344""",ii_tl-ph_water-&-sanitation-3,somewhat_safe,7.0450529,125.5906535
"""5540792930140160""","""5850586203291648""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-01-26 23:33:21.729000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_safe,6.7689338,125.2261257
"""5540873502720000""","""6405346962702336""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-02-24 07:10:21.200000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_safe,7.282546,124.3026966
"""5541129648865280""","""5888284511174656""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-01-27 00:05:29.073000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_safe,7.0380216,125.5275947
"""5541397589393408""","""5749395884605440""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-02-27 07:18:19.600000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.0987152,125.6276349
"""5541408490389504""","""6075236485169152""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-01-01 23:24:19.575000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,7.2056153,124.2338771
"""5541522553438208""","""6093898281648128""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-03-27 05:26:19.116000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,somewhat_unsafe,6.1065908,125.1871518
"""5541591423909888""","""6443892918452224""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-03-21 13:26:19.393000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,somewhat_safe,6.9935812,122.1637062
"""5541707958452224""","""6088699500560384""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-03-24 03:53:19.360000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_unsafe,7.22583,124.254335
"""5541964957089792""","""6233819503919104""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-01-02 00:02:18.695000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,7.0068083,124.1614321
"""5542189171998720""","""6331368353038336""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-02-26 22:02:24.641000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,very_safe,7.1383906,125.6513813
"""5542404196139008""","""6288918104244224""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-03-26 22:44:22.417000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,very_safe,6.0630691,125.1437355
"""5543139390521344""","""5750501598560256""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-03-21 08:14:19.437000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,somewhat_safe,7.3513017,122.2835519
"""5543327669682176""","""5964659238633472""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-01-02 05:02:18.097000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,9.0325388,125.523001
"""5543682872705024""","""5728160798736384""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-01-23 18:12:20.326000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,somewhat_safe,,
"""5544415515901952""","""5652704262094848""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-03-26 22:44:25.692000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,very_safe,,
"""5545209536446464""","""5586696638824448""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-01-02 13:35:18.672000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_unsafe,6.9384938,122.0661121
"""5545251810836480""","""5921510822772736""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-01-29 16:58:22.534000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,,
